microRNA,R_squared
hsa-miR-27a-3p,0.792007684181485
hsa-miR-125b-2-3p,0.791478877185564
hsa-miR-181a-3p,0.790897928924493
hsa-miR-744-5p,0.790575308376527
hsa-miR-20a-3p,0.790035321870454
hsa-miR-19a-3p,0.789556447519001
hsa-miR-193b-3p,0.788712277922324
hsa-miR-671-3p,0.788225866924334
hsa-miR-3200-5p,0.788091563712687
hsa-miR-124-3p,0.787045606015957
hsa-miR-6720-3p,0.786977557643514
hsa-miR-203a-5p,0.785308680679246
hsa-miR-660-5p,0.785163455241183
hsa-let-7d-3p,0.784868831224963
hsa-miR-128-3p,0.784720382933147
hsa-miR-128-1-5p,0.784526996792971
hsa-miR-204-5p,0.78175222128283
hsa-miR-140-3p,0.781401780344361
hsa-miR-542-3p,0.781259164386074
hsa-miR-3200-3p,0.77825750042043
hsa-miR-148a-5p,0.778200520860074
hsa-miR-29c-5p,0.777087587837401
hsa-miR-3614-5p,0.777078037462061
hsa-miR-204-3p,0.776635709318066
hsa-miR-532-3p,0.776536576053733
hsa-miR-1306-5p,0.775719704475333
hsa-let-7e-3p,0.775707508092295
hsa-miR-29b-2-5p,0.775669260226013
hsa-let-7a-3p,0.77428718291409
hsa-miR-6499-5p,0.774053031360665
hsa-miR-708-3p,0.77235707963868
hsa-miR-934,0.771259330688763
hsa-miR-219a-2-3p,0.770921588276326
hsa-miR-889-3p,0.769919926579536
hsa-miR-218-5p,0.769901068913024
hsa-miR-214-3p,0.769896833922152
hsa-miR-520f-3p,0.76761030622524
hsa-miR-181a-2-3p,0.766213210765356
hsa-miR-10b-5p,0.766160769456577
hsa-miR-22-5p,0.766087486354045
hsa-miR-484,0.76572379476068
hsa-miR-6511b-3p,0.765685463216296
hsa-miR-125a-3p,0.763755644744259
hsa-miR-24-2-5p,0.763624068468751
hsa-miR-150-3p,0.763316140428895
hsa-miR-582-3p,0.762865101535094
hsa-miR-219a-1-3p,0.762451236803842
hsa-miR-342-3p,0.762012393402774
hsa-miR-132-3p,0.761974692784304
hsa-miR-148b-3p,0.76175057226549
hsa-miR-501-3p,0.761720357838125
hsa-miR-151a-5p,0.761700296424327
hsa-miR-766-3p,0.761592407137624
hsa-miR-3622a-3p,0.761466030526938
hsa-miR-330-5p,0.761359521943297
